0,1
1,1
2,4
3,2
4,7
5,12
6,3
7,5
8,9
9,8
10,12
11,15
12,16
13,16
14,21
15,16
16,19
17,14
18,12
19,28
20,19
21,26
22,28
23,32
24,26
25,20
26,23
27,52
28,33
29,34
30,63
31,43
32,35
33,28
34,47
35,39
36,54
37,30
38,38
39,39
40,26
41,44
42,44
43,80
44,36
45,59
46,44
47,24
48,33
49,47
50,38
51,34
52,40
53,55
54,46
55,59
56,40
57,43
58,71
59,69
60,65
61,53
62,59
63,55
64,60
65,26
66,45
67,53
68,34
69,67
70,56
71,59
72,66
73,53
74,41
75,74
76,67
77,37
78,58
79,60
80,36
81,42
82,69
83,31
84,54
85,73
86,47
87,58
88,61
89,52
90,30
91,79
92,60
93,62
94,50
95,59
96,61
97,51
98,51
99,47
