0,0
1,1
2,1
3,1
4,1
5,1
6,4
7,1
8,2
9,1
10,2
11,0
12,0
13,6
14,6
15,5
16,2
17,3
18,4
19,7
20,3
21,8
22,3
23,4
24,7
25,6
26,9
27,6
28,8
29,7
30,5
31,6
32,9
33,3
34,8
35,9
36,14
37,9
38,9
39,8
40,15
41,11
42,11
43,10
44,7
45,8
46,11
47,10
48,7
49,16
50,15
51,14
52,17
53,8
54,15
55,11
56,9
57,17
58,17
59,11
60,12
61,12
62,14
63,15
64,18
65,15
66,12
67,11
68,15
69,16
70,11
71,17
72,17
73,15
74,19
75,16
76,11
77,20
78,23
79,18
80,18
81,17
82,25
83,21
84,22
85,25
86,15
87,20
88,21
89,19
90,17
91,23
92,20
93,16
94,15
95,21
96,18
97,24
98,18
99,19
