0,27
1,24
2,22
3,21
4,19
5,20
6,21
7,20
8,17
9,17
10,16
11,16
12,15
13,14
14,18
15,18
16,17
17,17
18,15
19,14
20,14
21,33
22,24
23,25
24,24
25,24
26,23
27,24
28,22
29,20
30,18
31,17
32,18
33,13
34,17
35,20
36,16
37,14
38,14
39,12
40,14
41,11
42,12
43,12
44,12
45,11
46,11
47,12
48,10
49,11
50,13
51,34
52,26
53,24
54,25
55,24
56,22
57,23
58,21
59,19
60,19
61,19
62,17
63,18
64,18
65,14
66,16
67,17
68,19
69,17
70,15
71,21
72,23
73,17
74,18
75,13
76,19
77,21
78,18
79,16
80,16
81,39
82,31
83,31
84,28
85,30
86,22
87,21
88,26
89,25
90,21
91,24
92,24
93,43
94,33
95,38
96,29
97,33
98,39
99,28
