0,11
1,12
2,11
3,12
4,11
5,14
6,13
7,12
8,14
9,13
10,14
11,17
12,15
13,14
14,17
15,16
16,17
17,15
18,15
19,16
20,15
21,80
22,65
23,38
24,36
25,28
26,28
27,22
28,25
29,24
30,25
31,28
32,20
33,21
34,18
35,27
36,25
37,21
38,23
39,24
40,34
41,22
42,28
43,25
44,19
45,22
46,22
47,18
48,22
49,19
50,20
51,84
52,63
53,50
54,50
55,49
56,44
57,37
58,40
59,32
60,37
61,33
62,30
63,35
64,35
65,31
66,28
67,27
68,29
69,27
70,23
71,28
72,27
73,21
74,23
75,22
76,22
77,22
78,21
79,20
80,23
81,99
82,82
83,73
84,70
85,70
86,61
87,69
88,53
89,59
90,55
91,52
92,52
93,268
94,119
95,82
96,77
97,72
98,152
99,94
