0,97
1,72
2,69
3,52
4,68
5,70
6,75
7,68
8,55
9,70
10,70
11,70
12,56
13,69
14,73
15,71
16,76
17,189
18,68
19,70
20,70
21,447
22,71
23,74
24,72
25,55
26,79
27,74
28,72
29,72
30,193
31,124
32,79
33,72
34,55
35,71
36,68
37,87
38,62
39,93
40,71
41,70
42,297
43,69
44,72
45,72
46,53
47,71
48,67
49,68
50,73
51,56
52,63
53,109
54,77
55,78
56,55
57,82
58,205
59,105
60,104
61,55
62,120
63,159
64,164
65,178
66,136
67,143
68,62
69,92
70,92
71,110
72,55
73,144
74,59
75,91
76,108
77,82
78,61
79,124
80,87
81,109
82,104
83,67
84,115
85,159
86,1272
87,64
88,115
89,125
90,66
91,102
92,95
93,112
94,83
95,74
96,54
97,128
98,82
99,53
