0,8
1,7
2,7
3,7
4,7
5,7
6,6
7,7
8,6
9,7
10,6
11,7
12,7
13,7
14,7
15,9
16,11
17,12
18,11
19,8
20,11
21,31
22,19
23,13
24,12
25,9
26,10
27,11
28,8
29,9
30,7
31,13
32,11
33,7
34,10
35,7
36,8
37,12
38,9
39,10
40,11
41,10
42,10
43,9
44,7
45,9
46,10
47,9
48,8
49,9
50,10
51,40
52,22
53,18
54,19
55,18
56,15
57,12
58,12
59,8
60,15
61,13
62,12
63,9
64,9
65,10
66,10
67,12
68,9
69,13
70,15
71,11
72,10
73,9
74,9
75,9
76,8
77,13
78,9
79,10
80,8
81,33
82,27
83,24
84,24
85,23
86,17
87,16
88,15
89,14
90,10
91,22
92,16
93,39
94,34
95,34
96,36
97,28
98,37
99,32
